Algorithm,Time (nanoseconds),Time (milliseconds)
Sequential Search,330200,0.3302
Binary Search,5500,0.0055
Merge (By Playcount),922400,0.9224
Quick (By Playcount),898600,0.8986
Heap (By Playcount),1332000,1.332
Bubble (By Playcount),18426000,18.426
Insertion (By Playcount),11986500,11.9865
Selection (By Playcount),15400700,15.4007
Merge (By Date),3969300,3.9693
Quick (By Date),2055700,2.0557
Heap (By Date),2296200,2.2962
Bubble (By Date),60212600,60.2126
Insertion (By Date),21947200,21.9472
Selection (By Date),22823000,22.823
